date,county,prop_omicron_cases
2022-04-11,Fresno,0.9936731146060419
2022-04-11,Glenn,0.9949306489142593
2022-04-11,Humboldt,0.9950217781926125
2022-04-11,Imperial,0.994418241139186
2022-04-11,Inyo,0.9960852980389273
2022-04-11,Kern,0.9949391889467637
2022-04-11,Kings,0.993270627592742
2022-04-11,Lake,0.9930686656128666
2022-04-11,Lassen,0.9959006897253042
2022-04-11,Los Angeles,0.9989651097591368
2022-04-11,Madera,0.9933255303138808
2022-04-11,Marin,0.9960557579299661
2022-04-11,Mariposa,0.9927167519434854
2022-04-11,Mendocino,0.9897784976605798
2022-04-11,Merced,0.9944665847919518
2022-04-11,Mono,0.9918622567598891
2022-04-11,Monterey,0.9953182215902541
2022-04-11,Napa,0.9950882369712276
2022-04-11,Nevada,0.9935408642153755
2022-04-11,Orange,0.9966095821974655
2022-04-11,Placer,0.9941136492671782
2022-04-11,Plumas,0.9940377454448492
2022-04-11,Riverside,0.9946315794281224
2022-04-11,Sacramento,0.9954887789048299
2022-04-11,San Benito,0.9964535956836557
2022-04-11,San Bernardino,0.9969410138630515
2022-04-11,San Diego,0.9986678039019767
2022-04-11,San Francisco,0.994982902851287
2022-04-11,San Joaquin,0.9957839406939242
2022-04-11,San Luis Obispo,0.9960535979085309
2022-04-11,San Mateo,0.997513604474187
2022-04-11,Santa Barbara,0.9951663768550382
2022-04-11,Santa Clara,0.9986640401979282
2022-04-11,Santa Cruz,0.9966027986322803
2022-04-11,Shasta,0.9946774433809483
2022-04-11,Sierra,0.9935749345568664
2022-04-11,Siskiyou,0.9959020198929296
2022-04-11,Solano,0.9953356191370689
2022-04-11,Sonoma,0.9959950718655589
2022-04-11,Stanislaus,0.9921368748752029
2022-04-11,Sutter,0.9945328724881883
2022-04-11,Tehama,0.990859045563338
2022-04-11,Trinity,0.9916297780247715
2022-04-11,Tulare,0.9916702845875117
2022-04-11,Tuolumne,0.9935563702628837
2022-04-11,Ventura,0.9971674326694175
2022-04-11,Yolo,0.9965878946975792
2022-04-11,Yuba,0.9951667611553169
2022-04-12,Alameda,0.9969344476252482
2022-04-12,Alpine,0.9950198002675494
2022-04-12,Amador,0.9926459920937238
2022-04-12,Butte,0.9973448821728063
2022-04-12,Calaveras,0.995467492831502
2022-04-12,Colusa,0.9943713128624032
2022-04-12,Contra Costa,0.9954761107000633
2022-04-12,Del Norte,0.9951040265142682
2022-04-12,El Dorado,0.9951311647259855
2022-04-12,Fresno,0.9940025012331023
2022-04-12,Glenn,0.995194793994854
2022-04-12,Humboldt,0.9952812587910332
2022-04-12,Imperial,0.9947090159936667
2022-04-12,Inyo,0.996289520091111
2022-04-12,Kern,0.9952029751261551
2022-04-12,Kings,0.9936208233214676
2022-04-12,Lake,0.9934292252716007
2022-04-12,Lassen,0.9961144381341077
2022-04-12,Los Angeles,0.9990192549034252
2022-04-12,Madera,0.9936728793241992
2022-04-12,Marin,0.9962615445094298
2022-04-12,Mariposa,0.9930953819702776
2022-04-12,Mendocino,0.9903085873801113
2022-04-12,Merced,0.9947548633467217
2022-04-12,Mono,0.9922848574750764
2022-04-12,Monterey,0.9955623304188426
2022-04-12,Napa,0.9953442657214897
2022-04-12,Nevada,0.9938770544655473
2022-04-12,Orange,0.9967865760173509
2022-04-12,Placer,0.9944202050266765
2022-04-12,Plumas,0.9943478051857608
2022-04-12,Riverside,0.9949113089701364
2022-04-12,Sacramento,0.9957240389424868
2022-04-12,San Benito,0.996638703032935
2022-04-12,San Bernardino,0.9971007540040325
2022-04-12,San Diego,0.9987374850133238
2022-04-12,San Francisco,0.9952444092436183
2022-04-12,San Joaquin,0.9960038680593986
2022-04-12,San Luis Obispo,0.9962595121581856
2022-04-12,San Mateo,0.9976435159577466
2022-04-12,Santa Barbara,0.9954183721998724
2022-04-12,Santa Clara,0.9987339190390389
2022-04-12,Santa Cruz,0.9967801444768453
2022-04-12,Shasta,0.9949547836836637
2022-04-12,Sierra,0.9939087885559355
2022-04-12,Siskiyou,0.9961156945404376
2022-04-12,Solano,0.9955788231258093
2022-04-12,Sonoma,0.9962040260925029
2022-04-12,Stanislaus,0.9925456262482198
2022-04-12,Sutter,0.9948176927472248
2022-04-12,Tehama,0.9913335400770804
2022-04-12,Trinity,0.992064334426202
2022-04-12,Tulare,0.9921031052452233
2022-04-12,Tuolumne,0.9938917457864971
2022-04-12,Ventura,0.9973153844279026
2022-04-12,Yolo,0.9967660098932292
2022-04-12,Yuba,0.9954186981884073
2022-04-13,Alameda,0.9970945348110106
2022-04-13,Alpine,0.9952790467267112
2022-04-13,Amador,0.9930284040318641
2022-04-13,Butte,0.9974835901113499
